query,response,intent,domain
What are the genetic changes related to spastic paraplegia type 11 ?,"Mutations in the SPG11 gene cause spastic paraplegia type 11. The SPG11 gene provides instructions for making the protein spatacsin. Spatacsin is active (expressed) throughout the nervous system, although its exact function is unknown. Researchers speculate that spatacsin may be involved in the maintenance of axons, which are specialized extensions of nerve cells (neurons) that transmit impulses throughout the nervous system.  SPG11 gene mutations typically change the structure of the spatacsin protein. The effect that the altered spatacsin protein has on the nervous system is not known. Researchers suggest that mutations in spatacsin may cause the signs and symptoms of spastic paraplegia type 11 by interfering with the protein's proposed role in the maintenance of axons.",health inquiry,healthcare
Is spastic paraplegia type 11 inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",health inquiry,healthcare
What are the treatments for spastic paraplegia type 11 ?,"These resources address the diagnosis or management of spastic paraplegia type 11:  - Gene Review: Gene Review: Spastic Paraplegia 11  - Genetic Testing Registry: Spastic paraplegia 11, autosomal recessive  - Spastic Paraplegia Foundation, Inc.: Treatments and Therapies   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",health inquiry,healthcare
What is (are) thrombocytopenia-absent radius syndrome ?,"Thrombocytopenia-absent radius (TAR) syndrome is characterized by the absence of a bone called the radius in each forearm. Affected individuals also have a shortage (deficiency) of blood cells involved in clotting (platelets). This platelet deficiency (thrombocytopenia) usually appears during infancy and becomes less severe over time; in some cases the platelet levels become normal.  Thrombocytopenia prevents normal blood clotting, resulting in easy bruising and frequent nosebleeds. Potentially life-threatening episodes of severe bleeding (hemorrhages) may occur in the brain and other organs, especially during the first year of life. Hemorrhages can damage the brain and lead to intellectual disability. Affected children who survive this period and do not have damaging hemorrhages in the brain usually have a normal life expectancy and normal intellectual development.  TAR syndrome is unusual among similar malformations in that affected individuals have thumbs, while people with other conditions involving an absent radius typically do not. TAR syndrome is also associated with short stature and additional skeletal abnormalities, including underdevelopment of other bones in the arms and legs. Affected individuals may also have malformations of the heart and kidneys. TAR syndrome is associated with unusual facial features including a small lower jaw (micrognathia), a prominent forehead, and low-set ears. About half of affected individuals have allergic reactions to cow's milk that may worsen the thrombocytopenia associated with this disorder.",health inquiry,healthcare
How many people are affected by thrombocytopenia-absent radius syndrome ?,"TAR syndrome is a rare disorder, affecting fewer than 1 in 100,000 newborns.",health inquiry,healthcare
What are the genetic changes related to thrombocytopenia-absent radius syndrome ?,"Mutations in the RBM8A gene cause TAR syndrome. The RBM8A gene provides instructions for making a protein called RNA-binding motif protein 8A. This protein is believed to be involved in several important cellular functions involving the production of other proteins.  Most people with TAR syndrome have a mutation in one copy of the RBM8A gene and a deletion of genetic material from chromosome 1 that includes the other copy of the RBM8A gene in each cell. A small number of affected individuals have mutations in both copies of the RBM8A gene in each cell and do not have a deletion on chromosome 1. RBM8A gene mutations that cause TAR syndrome reduce the amount of RNA-binding motif protein 8A in cells. The deletions involved in TAR syndrome eliminate at least 200,000 DNA building blocks (200 kilobases, or 200 kb) from the long (q) arm of chromosome 1 in a region called 1q21.1. The deletion eliminates one copy of the RBM8A gene in each cell and the RNA-binding motif protein 8A that would have been produced from it.  People with either an RBM8A gene mutation and a chromosome 1 deletion or with two gene mutations have a decreased amount of RNA-binding motif protein 8A. This reduction is thought to cause problems in the development of certain tissues, but it is unknown how it causes the specific signs and symptoms of TAR syndrome. No cases have been reported in which a deletion that includes the RBM8A gene occurs on both copies of chromosome 1; studies indicate that the complete loss of RNA-binding motif protein 8A is not compatible with life.  Researchers sometimes refer to the deletion in chromosome 1 associated with TAR syndrome as the 200-kb deletion to distinguish it from another chromosomal abnormality called a 1q21.1 microdeletion. People with a 1q21.1 microdeletion are missing a different, larger DNA segment in the chromosome 1q21.1 region near the area where the 200-kb deletion occurs. The chromosomal change related to 1q21.1 microdeletion is often called the recurrent distal 1.35-Mb deletion.",health inquiry,healthcare
Is thrombocytopenia-absent radius syndrome inherited ?,"TAR syndrome is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell are altered. In this disorder, either both copies of the RBM8A gene in each cell have mutations or, more commonly, one copy of the gene has a mutation and the other is lost as part of a deleted segment on chromosome 1. The affected individual usually inherits an RBM8A gene mutation from one parent. In about 75 percent of cases, the affected person inherits a copy of chromosome 1 with the 200-kb deletion from the other parent. In the remaining cases, the deletion occurs during the formation of reproductive cells (eggs and sperm) or in early fetal development. Although parents of an individual with TAR syndrome can carry an RBM8A gene mutation or a 200-kb deletion, they typically do not show signs and symptoms of the condition.",health inquiry,healthcare
What are the treatments for thrombocytopenia-absent radius syndrome ?,These resources address the diagnosis or management of TAR syndrome:  - Gene Review: Gene Review: Thrombocytopenia Absent Radius Syndrome  - Genetic Testing Registry: Radial aplasia-thrombocytopenia syndrome  - MedlinePlus Encyclopedia: Skeletal Limb Abnormalities   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,health inquiry,healthcare
What is (are) Jackson-Weiss syndrome ?,"Jackson-Weiss syndrome is a genetic disorder characterized by foot abnormalities and the premature fusion of certain skull bones (craniosynostosis). This early fusion prevents the skull from growing normally and affects the shape of the head and face.  Many of the characteristic facial features of Jackson-Weiss syndrome result from premature fusion of the skull bones. Abnormal growth of these bones leads to a misshapen skull, widely spaced eyes, and a bulging forehead.  Foot abnormalities are the most consistent features of Jackson-Weiss syndrome. The first (big) toes are short and wide, and they bend away from the other toes. Additionally, the bones of some toes may be fused together (syndactyly) or abnormally shaped. The hands are almost always normal.  People with Jackson-Weiss syndrome usually have normal intelligence and a normal life span.",health inquiry,healthcare
How many people are affected by Jackson-Weiss syndrome ?,Jackson-Weiss syndrome is a rare genetic disorder; its incidence is unknown.,health inquiry,healthcare
What are the genetic changes related to Jackson-Weiss syndrome ?,"Mutations in the FGFR2 gene cause Jackson-Weiss syndrome. This gene provides instructions for making a protein called fibroblast growth factor receptor 2. Among its multiple functions, this protein signals immature cells to become bone cells during embryonic development. A mutation in a specific part of the FGFR2 gene overstimulates signaling by the FGFR2 protein, which promotes the premature fusion of skull bones and affects the development of bones in the feet.",health inquiry,healthcare
Is Jackson-Weiss syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",health inquiry,healthcare
What are the treatments for Jackson-Weiss syndrome ?,These resources address the diagnosis or management of Jackson-Weiss syndrome:  - Gene Review: Gene Review: FGFR-Related Craniosynostosis Syndromes  - Genetic Testing Registry: Jackson-Weiss syndrome  - MedlinePlus Encyclopedia: Craniosynostosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,health inquiry,healthcare
What is (are) cystic fibrosis ?,"Cystic fibrosis is an inherited disease characterized by the buildup of thick, sticky mucus that can damage many of the body's organs. The disorder's most common signs and symptoms include progressive damage to the respiratory system and chronic digestive system problems. The features of the disorder and their severity varies among affected individuals.  Mucus is a slippery substance that lubricates and protects the linings of the airways, digestive system, reproductive system, and other organs and tissues. In people with cystic fibrosis, the body produces mucus that is abnormally thick and sticky. This abnormal mucus can clog the airways, leading to severe problems with breathing and bacterial infections in the lungs. These infections cause chronic coughing, wheezing, and inflammation. Over time, mucus buildup and infections result in permanent lung damage, including the formation of scar tissue (fibrosis) and cysts in the lungs.  Most people with cystic fibrosis also have digestive problems. Some affected babies have meconium ileus, a blockage of the intestine that occurs shortly after birth. Other digestive problems result from a buildup of thick, sticky mucus in the pancreas. The pancreas is an organ that produces insulin (a hormone that helps control blood sugar levels). It also makes enzymes that help digest food. In people with cystic fibrosis, mucus blocks the ducts of the pancreas, reducing the production of insulin and preventing digestive enzymes from reaching the intestines to aid digestion. Problems with digestion can lead to diarrhea, malnutrition, poor growth, and weight loss. In adolescence or adulthood, a shortage of insulin can cause a form of diabetes known as cystic fibrosis-related diabetes mellitus (CFRDM).  Cystic fibrosis used to be considered a fatal disease of childhood. With improved treatments and better ways to manage the disease, many people with cystic fibrosis now live well into adulthood. Adults with cystic fibrosis experience health problems affecting the respiratory, digestive, and reproductive systems. Most men with cystic fibrosis have congenital bilateral absence of the vas deferens (CBAVD), a condition in which the tubes that carry sperm (the vas deferens) are blocked by mucus and do not develop properly. Men with CBAVD are unable to father children (infertile) unless they undergo fertility treatment. Women with cystic fibrosis may experience complications in pregnancy.",health inquiry,healthcare
How many people are affected by cystic fibrosis ?,"Cystic fibrosis is a common genetic disease within the white population in the United States. The disease occurs in 1 in 2,500 to 3,500 white newborns. Cystic fibrosis is less common in other ethnic groups, affecting about 1 in 17,000 African Americans and 1 in 31,000 Asian Americans.",health inquiry,healthcare
What are the genetic changes related to cystic fibrosis ?,"Mutations in the CFTR gene cause cystic fibrosis. The CFTR gene provides instructions for making a channel that transports negatively charged particles called chloride ions into and out of cells. Chloride is a component of sodium chloride, a common salt found in sweat. Chloride also has important functions in cells; for example, the flow of chloride ions helps control the movement of water in tissues, which is necessary for the production of thin, freely flowing mucus.  Mutations in the CFTR gene disrupt the function of the chloride channels, preventing them from regulating the flow of chloride ions and water across cell membranes. As a result, cells that line the passageways of the lungs, pancreas, and other organs produce mucus that is unusually thick and sticky. This mucus clogs the airways and various ducts, causing the characteristic signs and symptoms of cystic fibrosis.  Other genetic and environmental factors likely influence the severity of the condition. For example, mutations in genes other than CFTR might help explain why some people with cystic fibrosis are more severely affected than others. Most of these genetic changes have not been identified, however.",health inquiry,healthcare
Is cystic fibrosis inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",health inquiry,healthcare
What are the treatments for cystic fibrosis ?,These resources address the diagnosis or management of cystic fibrosis:  - American Society for Reproductive Medicine: Male Infertility  - Baby's First Test  - Gene Review: Gene Review: CFTR-Related Disorders  - Genetic Testing Registry: Cystic fibrosis  - Genomics Education Programme (UK)  - MedlinePlus Encyclopedia: Cystic Fibrosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,health inquiry,healthcare
What is (are) Guillain-Barr syndrome ?,"Guillain-Barr syndrome is an autoimmune disorder that affects the nerves. Autoimmune disorders occur when the immune system malfunctions and attacks the body's own tissues and organs. In Guillain-Barr syndrome, the immune response damages peripheral nerves, which are the nerves that connect the central nervous system (the brain and spinal cord) to the limbs and organs. Specifically, the immune response affects a particular part of peripheral nerves called axons, which are the extensions of nerve cells (neurons) that transmit nerve impulses. Guillain-Barr syndrome can affect the neurons that control muscle movement (motor neurons); the neurons that transmit sensory signals such as pain, temperature, and touch (sensory neurons); or both. As a result, affected individuals can experience muscle weakness or lose the ability to feel certain sensations.  Muscle weakness or paralysis are the characteristic features of Guillain-Barr syndrome. The weakness often begins in the legs and spreads to the arms, torso, and face and is commonly accompanied by numbness, tingling, or pain. Additional signs and symptoms of the condition include difficulty swallowing and difficulty breathing. Occasionally, the nerves that control involuntary functions of the body such as blood pressure and heart rate are affected, which can lead to fluctuating blood pressure or an abnormal heartbeat (cardiac arrhythmia).  There are several types of Guillain-Barr syndrome, classified by the part of the peripheral nerve involved in the condition. The most common type of Guillain-Barr syndrome is acute inflammatory demyelinating polyradiculoneuropathy (AIDP). In AIDP, the immune response damages myelin, which is the covering that protects axons and promotes the efficient transmission of nerve impulses. In two other types of Guillain-Barr syndrome, acute motor axonal neuropathy (AMAN) and acute motor-sensory axonal neuropathy (AMSAN), the axons themselves are damaged by the immune response. In AMAN, only the axons of motor neurons are damaged. In AMSAN, the axons of sensory neurons are also damaged. Because of sensory nerve damage, affected individuals can lose the ability to sense the position of their limbs and can have abnormal or absent reflexes (areflexia).  Miller Fisher syndrome, another type of Guillain-Barr syndrome, involves cranial nerves, which extend from the brain to various areas of the head and neck. Miller Fisher syndrome is characterized by three features: weakness or paralysis of the muscles that move the eyes (ophthalmoplegia), problems with balance and coordination (ataxia), and areflexia. People with this condition can have other signs and symptoms common in Guillain-Barr syndrome, such as muscle weakness.  Guillain-Barr syndrome occurs in people of all ages. The development of the condition usually follows a pattern. Prior to developing the condition, most people with Guillain-Barr syndrome have a bacterial or viral infection. The first phase of Guillain-Barr syndrome, during which signs and symptoms of the condition worsen, can last up to four weeks, although the peak of the illness is usually reached in one to two weeks. During the second phase, called the plateau, signs and symptoms of Guillain-Barr syndrome stabilize. This phase can last weeks or months. During the recovery phase, symptoms improve. However, some people with Guillain-Barr syndrome never fully recover and can still experience excessive tiredness (fatigue), muscle weakness, or muscle pain.",health inquiry,healthcare
How many people are affected by Guillain-Barr syndrome ?,"The prevalence of Guillain-Barr syndrome is estimated to be 6 to 40 cases per 1 million people. The occurrence of the different types of Guillain-Barr syndrome varies across regions. AIDP is the most common type in North America and Europe, accounting for approximately 90 percent of cases of Guillain-Barr syndrome in those regions. AMAN and AMSAN together account for 30 to 50 percent of cases in Asian countries and Latin America but only 3 to 5 percent of cases in North America and Europe. Miller Fisher syndrome is also more common in Asian countries, accounting for approximately 20 percent of cases in these countries but less than 5 percent in North America and Europe.",health inquiry,healthcare
What are the genetic changes related to Guillain-Barr syndrome ?,"Some studies show that normal variations in certain genes may be associated with an increased risk of developing Guillain-Barr syndrome; however, more research is necessary to identify and confirm associated genes. Many of the genes that may increase the risk of Guillain-Barr syndrome are involved in the immune system, and their roles in fighting infection may contribute to the development of the condition.  Most people who develop Guillain-Barr syndrome have a bacterial or viral infection prior to developing the signs and symptoms of the condition. However, only a very small percentage of people who have an infection develop Guillain-Barr syndrome. In order to fight the infection, specialized immune cells produce proteins called antibodies that recognize specific proteins or molecules on the bacteria or virus (pathogen). Some research shows that antibodies that recognize molecules on some pathogens may also recognize proteins on the body's own nerves. As a result, the immune system attacks the nerves, causing inflammation and damaging the axons and myelin, which can lead to the signs and symptoms of Guillain-Barr syndrome.",health inquiry,healthcare
Is Guillain-Barr syndrome inherited ?,"Almost all cases of Guillain-Barr syndrome are sporadic, which means they occur in people with no history of the condition in their family. A few families with more than one affected family member have been described; however, the condition does not have a clear pattern of inheritance. Multiple genetic and environmental factors likely play a part in determining the risk of developing this condition. As a result, inheriting a genetic variation linked with Guillain-Barr syndrome does not mean that a person will develop the condition.",health inquiry,healthcare
What are the treatments for Guillain-Barr syndrome ?,"These resources address the diagnosis or management of Guillain-Barr syndrome:  - Genetic Testing Registry: Guillain-Barre syndrome, familial  - National Institute of Neurological Disorders and Stroke: Guillain-Barr Syndrome Fact Sheet   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",health inquiry,healthcare
What is (are) spinocerebellar ataxia type 2 ?,"Spinocerebellar ataxia type 2 (SCA2) is a condition characterized by progressive problems with movement. People with this condition initially experience problems with coordination and balance (ataxia). Other early signs and symptoms of SCA2 include speech and swallowing difficulties, rigidity, tremors, and weakness in the muscles that control eye movement (ophthalmoplegia). Eye muscle weakness leads to a decreased ability to make rapid eye movements (saccadic slowing).  Over time, individuals with SCA2 may develop loss of sensation and weakness in the limbs (peripheral neuropathy), muscle wasting (atrophy), uncontrolled muscle tensing (dystonia), and involuntary jerking movements (chorea). Individuals with SCA2 may have problems with short term memory, planning, and problem solving, or experience an overall decline in intellectual function (dementia).  Signs and symptoms of the disorder typically begin in mid-adulthood but can appear anytime from childhood to late adulthood. People with SCA2 usually survive 10 to 20 years after symptoms first appear.",health inquiry,healthcare
How many people are affected by spinocerebellar ataxia type 2 ?,"The prevalence of SCA2 is unknown. This condition is estimated to be one of the most common types of spinocerebellar ataxia; however, all types of spinocerebellar ataxia are relatively rare. SCA2 is more common in Cuba, particularly in the Holgun province, where approximately 40 per 100,000 individuals are affected.",health inquiry,healthcare
What are the genetic changes related to spinocerebellar ataxia type 2 ?,"Mutations in the ATXN2 gene cause SCA2. The ATXN2 gene provides instructions for making a protein called ataxin-2. This protein is found throughout the body, but its function is unknown. Ataxin-2 is found in the fluid inside cells (cytoplasm), where it appears to interact with a cell structure called the endoplasmic reticulum. The endoplasmic reticulum is involved in protein production, processing, and transport. Researchers believe that ataxin-2 may be involved in processing RNA, a chemical cousin of DNA. Ataxin-2 is also thought to play a role in the production of proteins from RNA (translation of DNA's genetic information).  The ATXN2 gene mutations that cause SCA2 involve a DNA segment known as a CAG trinucleotide repeat. This segment is made up of a series of three DNA building blocks (cytosine, adenine, and guanine) that appear multiple times in a row. Normally, the CAG segment is repeated approximately 22 times within the gene, but it can be repeated up to 31 times without causing any health problems. Individuals with 32 or more CAG repeats in the ATXN2 gene develop SCA2. People with 32 or 33 repeats tend to first experience signs and symptoms of SCA2 in late adulthood, while people with more than 45 repeats usually have signs and symptoms by their teens.  It is unclear how the abnormally long CAG segment affects the function of the ataxin-2 protein. The abnormal protein apparently leads to cell death, as people with SCA2 show loss of brain cells in different parts of the brain. Over time, the loss of brain cells causes the movement problems characteristic of SCA2.",health inquiry,healthcare
Is spinocerebellar ataxia type 2 inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. An affected person usually inherits the altered gene from one affected parent. However, some people with SCA2 do not have a parent with the disorder. Individuals who have an increase in the number of CAG repeats in the ATXN2 gene, but do not develop SCA2, are at risk of having children who will develop the disorder.  As the altered ATXN2 gene is passed down from one generation to the next, the length of the CAG trinucleotide repeat often increases. A larger number of repeats is usually associated with an earlier onset of signs and symptoms. This phenomenon is called anticipation. Anticipation tends to be more prominent when the ATXN2 gene is inherited from a person's father (paternal inheritance) than when it is inherited from a person's mother (maternal inheritance).",health inquiry,healthcare
What are the treatments for spinocerebellar ataxia type 2 ?,These resources address the diagnosis or management of SCA2:  - Gene Review: Gene Review: Spinocerebellar Ataxia Type 2  - Genetic Testing Registry: Spinocerebellar ataxia 2   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,health inquiry,healthcare
What is (are) Cushing disease ?,"Cushing disease is caused by elevated levels of a hormone called cortisol, which leads to a wide variety of signs and symptoms. This condition usually occurs in adults between the ages of 20 and 50; however, children may also be affected. The first sign of this condition is usually weight gain around the trunk and in the face. Affected individuals may get stretch marks (striae) on their thighs and abdomen and bruise easily. Individuals with Cushing disease can develop a hump on their upper back caused by abnormal deposits of fat. People with this condition can have muscle weakness, severe tiredness, and progressively thin and brittle bones that are prone to fracture (osteoporosis). They also have a weakened immune system and are at an increased risk of infections. Cushing disease can cause mood disorders such as anxiety, irritability, and depression. This condition can also affect a person's concentration and memory. People with Cushing disease have an increased chance of developing high blood pressure (hypertension) and diabetes. Women with Cushing disease may experience irregular menstruation and have excessive hair growth (hirsutism) on their face, abdomen, and legs. Men with Cushing disease may have erectile dysfunction. Children with Cushing disease typically experience slow growth.",health inquiry,healthcare
How many people are affected by Cushing disease ?,"Cushing disease is estimated to occur in 10 to 15 per million people worldwide. For reasons that are unclear, Cushing disease affects females more often than males.",health inquiry,healthcare
What are the genetic changes related to Cushing disease ?,"The genetic cause of Cushing disease is often unknown. In only a few instances, mutations in certain genes have been found to lead to Cushing disease. These genetic changes are called somatic mutations. They are acquired during a person's lifetime and are present only in certain cells. The genes involved often play a role in regulating the activity of hormones.  Cushing disease is caused by an increase in the hormone cortisol, which helps maintain blood sugar levels, protects the body from stress, and stops (suppresses) inflammation. Cortisol is produced by the adrenal glands, which are small glands located at the top of each kidney. The production of cortisol is triggered by the release of a hormone called adrenocorticotropic hormone (ACTH) from the pituitary gland, located at the base of the brain. The adrenal and pituitary glands are part of the hormone-producing (endocrine) system in the body that regulates development, metabolism, mood, and many other processes.  Cushing disease occurs when a noncancerous (benign) tumor called an adenoma forms in the pituitary gland, causing excessive release of ACTH and, subsequently, elevated production of cortisol. Prolonged exposure to increased cortisol levels results in the signs and symptoms of Cushing disease: changes to the amount and distribution of body fat, decreased muscle mass leading to weakness and reduced stamina, thinning skin causing stretch marks and easy bruising, thinning of the bones resulting in osteoporosis, increased blood pressure, impaired regulation of blood sugar leading to diabetes, a weakened immune system, neurological problems, irregular menstruation in women, and slow growth in children. The overactive adrenal glands that produce cortisol may also produce increased amounts of male sex hormones (androgens), leading to hirsutism in females. The effect of the excess androgens on males is unclear.  Most often, Cushing disease occurs alone, but rarely, it appears as a symptom of genetic syndromes that have pituitary adenomas as a feature, such as multiple endocrine neoplasia type 1 (MEN1) or familial isolated pituitary adenoma (FIPA).  Cushing disease is a subset of a larger condition called Cushing syndrome, which results when cortisol levels are increased by one of a number of possible causes. Sometimes adenomas that occur in organs or tissues other than the pituitary gland, such as adrenal gland adenomas, can also increase cortisol production, causing Cushing syndrome. Certain prescription drugs can result in an increase in cortisol production and lead to Cushing syndrome. Sometimes prolonged periods of stress or depression can cause an increase in cortisol levels; when this occurs, the condition is known as pseudo-Cushing syndrome. Not accounting for increases in cortisol due to prescription drugs, pituitary adenomas cause the vast majority of Cushing syndrome in adults and children.",health inquiry,healthcare
Is Cushing disease inherited ?,"Most cases of Cushing disease are sporadic, which means they occur in people with no history of the disorder in their family. Rarely, the condition has been reported to run in families; however, it does not have a clear pattern of inheritance.  The various syndromes that have Cushing disease as a feature can have different inheritance patterns. Most of these disorders are inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",health inquiry,healthcare
What are the treatments for Cushing disease ?,These resources address the diagnosis or management of Cushing disease:  - Genetic Testing Registry: Pituitary dependent hypercortisolism  - MedlinePlus Encyclopedia: Cortisol Level  - MedlinePlus Encyclopedia: Cushing Disease  - The Endocrine Society's Clinical Guidelines: The Diagnosis of Cushing's Syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,health inquiry,healthcare
"What is (are) distal hereditary motor neuropathy, type II ?","Distal hereditary motor neuropathy, type II is a progressive disorder that affects nerve cells in the spinal cord. It results in muscle weakness and affects movement, primarily in the legs.  Onset of distal hereditary motor neuropathy, type II ranges from the teenage years through mid-adulthood. The initial symptoms of the disorder are cramps or weakness in the muscles of the big toe and later, the entire foot. Over a period of approximately 5 to 10 years, affected individuals experience a gradual loss of muscle tissue (atrophy) in the lower legs. They begin to have trouble walking and running, and eventually may have complete paralysis of the lower legs. The thigh muscles may also be affected, although generally this occurs later and is less severe.  Some individuals with distal hereditary motor neuropathy, type II have weakening of the muscles in the hands and forearms. This weakening is less pronounced than in the lower limbs and does not usually result in paralysis.",health inquiry,healthcare
"How many people are affected by distal hereditary motor neuropathy, type II ?","The prevalence of distal hereditary motor neuropathy, type II is unknown. At least 25 affected families have been identified worldwide.",health inquiry,healthcare
"What are the genetic changes related to distal hereditary motor neuropathy, type II ?","Mutations in the HSPB1 and HSPB8 genes cause distal hereditary motor neuropathy, type II. These genes provide instructions for making proteins called heat shock protein beta-1 and heat shock protein beta-8. Heat shock proteins help protect cells under adverse conditions such as infection, inflammation, exposure to toxins, elevated temperature, injury, and disease. They block signals that lead to programmed cell death. In addition, they appear to be involved in activities such as cell movement (motility), stabilizing the cell's structural framework (the cytoskeleton), folding and stabilizing newly produced proteins, and repairing damaged proteins. Heat shock proteins also appear to play a role in the tensing of muscle fibers (muscle contraction).  Heat shock protein beta-1 and heat shock protein beta-8 are found in cells throughout the body and are abundant in nerve cells. In nerve cells, heat shock protein beta-1 helps to organize a network of molecular threads called neurofilaments that maintain the diameter of specialized extensions called axons. Maintaining proper axon diameter is essential for the efficient transmission of nerve impulses. The function of heat shock protein beta-8 is not well understood, but studies have shown that it interacts with heat shock protein beta-1.  The HSPB1 and HSPB8 gene mutations that cause distal hereditary motor neuropathy, type II change single protein building blocks (amino acids) in the protein sequence. If either protein is altered, they may be more likely to cluster together and form clumps (aggregates). Aggregates of heat shock proteins may block the transport of substances that are essential for the proper function of nerve axons. The disruption of other cell functions in which these proteins are involved may also contribute to the signs and symptoms of distal hereditary motor neuropathy, type II.",health inquiry,healthcare
"Is distal hereditary motor neuropathy, type II inherited ?","This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",health inquiry,healthcare
"What are the treatments for distal hereditary motor neuropathy, type II ?","These resources address the diagnosis or management of distal hereditary motor neuropathy, type II:  - Genetic Testing Registry: Distal hereditary motor neuronopathy type 2A  - Genetic Testing Registry: Distal hereditary motor neuronopathy type 2B  - MedlinePlus Encyclopedia: Weakness   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",health inquiry,healthcare
What is (are) Erdheim-Chester disease ?,"Erdheim-Chester disease is a rare disorder characterized by histiocytosis, a condition in which the immune system produces excess quantities of cells called histiocytes. Histiocytes normally function to destroy foreign substances and protect the body from infection. Erdheim-Chester disease is classified as a form of non-Langerhans cell histiocytosis to distinguish it from Langerhans cell histiocytosis, which involves accumulation of a specific type of histiocyte called Langerhans cells. In Erdheim-Chester disease, histiocytosis leads to inflammation that can damage organs and tissues throughout the body, causing them to become thickened, dense, and scarred (fibrotic); this tissue damage may lead to organ failure.  People with Erdheim-Chester disease often have bone pain, especially in the lower legs and upper arms, due to an abnormal increase in bone density (osteosclerosis). Damage to the pituitary gland (a structure at the base of the brain that produces several hormones, including a hormone that controls the amount of water released in the urine) may result in hormonal problems such as a condition called diabetes insipidus that leads to excessive urination. Abnormally high pressure of the cerebrospinal fluid within the skull (intracranial hypertension) caused by accumulation of histiocytes in the brain may result in headaches, seizures, cognitive impairment, or problems with movement or sensation. People with this condition can also have shortness of breath, heart or kidney disease, protruding eyes (exophthalmos), skin growths, or inability to conceive a child (infertility). Affected individuals may also experience fever, night sweats, fatigue, weakness, and weight loss.  The signs and symptoms of Erdheim-Chester disease usually appear between the ages of 40 and 60, although the disorder can occur at any age. The severity of the condition varies widely; some affected individuals have few or no associated health problems, while others have severe complications that can be life-threatening.",health inquiry,healthcare
How many people are affected by Erdheim-Chester disease ?,"Erdheim-Chester disease is a rare disorder; its exact prevalence is unknown. More than 500 affected individuals worldwide have been described in the medical literature. For unknown reasons, men are slightly more likely to develop the disease, accounting for about 60 percent of cases.",health inquiry,healthcare
What are the genetic changes related to Erdheim-Chester disease ?,"More than half of people with Erdheim-Chester disease have a specific mutation in the BRAF gene. Mutations in other genes are also thought to be involved in this disorder.  The BRAF gene provides instructions for making a protein that helps transmit chemical signals from outside the cell to the cell's nucleus. This protein is part of a signaling pathway known as the RAS/MAPK pathway, which controls several important cell functions. Specifically, the RAS/MAPK pathway regulates the growth and division (proliferation) of cells, the process by which cells mature to carry out specific functions (differentiation), cell movement (migration), and the self-destruction of cells (apoptosis).  The BRAF gene mutation that causes Erdheim-Chester disease is somatic, which means that it occurs during a person's lifetime and is present only in certain cells. The mutation occurs in histiocytes or in immature precursor cells that will develop into histiocytes. This mutation leads to production of a BRAF protein that is abnormally active, which disrupts regulation of cell growth and division. The unregulated overproduction of histiocytes results in their accumulation in the body's tissues and organs, leading to the signs and symptoms of Erdheim-Chester disease.  The BRAF gene belongs to a class of genes known as oncogenes. When mutated, oncogenes have the potential to cause normal cells to become cancerous. Researchers disagree on whether Erdheim-Chester disease should be considered a form of cancer because of the unregulated accumulation of histiocytes.",health inquiry,healthcare
